Date,Time,T1_CTIM
2-Nov-2023,08:34:30.79901,-18
2-Nov-2023,08:35:50.15625,-18
2-Nov-2023,16:26:20.78125,-18
3-Nov-2023,00:16:52.8125,-18
3-Nov-2023,08:07:25.1875,-18
3-Nov-2023,15:57:59.3125,-18
3-Nov-2023,23:48:31.59375,-18
4-Nov-2023,07:39:00.21875,-18
4-Nov-2023,15:29:29.1875,-18
4-Nov-2023,23:20:00.875,-18
5-Nov-2023,06:10:32.9375,-18
5-Nov-2023,14:01:03.90625,-18
5-Nov-2023,21:51:32.21875,-18
6-Nov-2023,05:42:02.0625,-18
6-Nov-2023,13:32:32.46875,-18
6-Nov-2023,21:23:03.53125,-18
7-Nov-2023,05:13:33.25,-18
7-Nov-2023,13:04:00.15625,-18
7-Nov-2023,20:54:30.03125,-18
8-Nov-2023,04:45:02.96875,-18
8-Nov-2023,12:35:39.78125,-18
8-Nov-2023,20:26:09.8125,-18
9-Nov-2023,04:16:43.03125,-18
9-Nov-2023,12:07:09.625,-18
9-Nov-2023,19:57:41.28125,-18
10-Nov-2023,03:48:08.90625,-18
10-Nov-2023,11:38:37.8125,-18
10-Nov-2023,19:29:10.71875,-18
11-Nov-2023,03:19:36.15625,-18
11-Nov-2023,07:22:38.3125,Bad
11-Nov-2023,07:27:03.28125,-18
11-Nov-2023,07:28:03.5,Bad
11-Nov-2023,07:28:03.5,-18
11-Nov-2023,07:28:03.5,Bad
11-Nov-2023,07:32:23.25,-18
11-Nov-2023,07:44:25.90625,Bad
11-Nov-2023,07:44:25.90625,-18
11-Nov-2023,07:44:25.90625,Bad
11-Nov-2023,07:44:30.90625,-18
11-Nov-2023,07:44:32.9375,Bad
11-Nov-2023,07:49:15.25,-18
11-Nov-2023,15:39:49.75,-18
11-Nov-2023,23:30:11.90625,-18
12-Nov-2023,07:20:37.90625,-18
12-Nov-2023,15:11:04.75,-18
12-Nov-2023,23:01:40.21875,-18
13-Nov-2023,06:52:08.78125,-18
13-Nov-2023,14:42:31.875,-18
13-Nov-2023,22:33:02.625,-18
14-Nov-2023,06:23:30.125,-18
14-Nov-2023,14:14:02.84375,-18
14-Nov-2023,22:04:32.1875,-18
15-Nov-2023,05:54:58.1875,-18
15-Nov-2023,13:45:24.6875,-18
15-Nov-2023,21:35:54.6875,-18
16-Nov-2023,05:26:28,-18
16-Nov-2023,13:16:57.3125,-18
16-Nov-2023,21:07:19.96875,-18
17-Nov-2023,04:57:48.59375,-18
17-Nov-2023,12:48:11.9375,-18
17-Nov-2023,20:38:35.15625,-18
18-Nov-2023,04:29:01.6875,-18
18-Nov-2023,12:19:32.1875,-18
18-Nov-2023,20:09:55.84375,-18
19-Nov-2023,04:00:21.09375,-18
19-Nov-2023,11:50:53.0625,-18
19-Nov-2023,19:41:26.5625,-18
20-Nov-2023,03:31:54.09375,-18
20-Nov-2023,11:22:17.84375,-18
20-Nov-2023,19:12:42.46875,-18
21-Nov-2023,03:03:10.5,-18
21-Nov-2023,10:53:39.375,-18
