Time,Value,Value Attributes
30-Mar-2024,03:51:39.25,0.0
30-Mar-2024,02:11:36.53125,0.0
29-Mar-2024,18:21:12.46875,0.0
29-Mar-2024,10:30:49.3125,0.0
29-Mar-2024,02:40:28.5,0.0
28-Mar-2024,18:50:04.4375,0.0
28-Mar-2024,10:59:36.15625,0.0
28-Mar-2024,03:09:13.125,0.0
28-Mar-2024,03:08:54.38901,Intf,Shut
28-Mar-2024,01:14:46.34375,0.0
27-Mar-2024,17:24:20.46875,0.0
27-Mar-2024,09:34:00.09375,0.0
27-Mar-2024,01:43:33.28125,0.0
26-Mar-2024,17:53:05.9375,0.0
26-Mar-2024,10:02:38.875,0.0
26-Mar-2024,02:12:12.25,0.0
25-Mar-2024,18:21:50.5,0.0
25-Mar-2024,10:31:26.125,0.0
25-Mar-2024,02:40:58.28125,0.0
24-Mar-2024,18:50:31.90625,0.0
24-Mar-2024,11:00:11.9375,0.0
24-Mar-2024,03:09:47.8125,0.0
23-Mar-2024,19:19:21.71875,0.0
23-Mar-2024,11:28:55.78125,0.0
23-Mar-2024,11:28:51.16701,Intf,Shut
23-Mar-2024,03:53:42.5625,0.0
22-Mar-2024,20:03:15.53125,0.0
22-Mar-2024,12:12:39.65625,0.0
22-Mar-2024,04:22:04.8125,0.1
22-Mar-2024,04:22:03.8125,1.0
22-Mar-2024,04:22:01.78125,0.0
22-Mar-2024,00:32:38.40625,0.0
21-Mar-2024,16:42:08.03125,0.0
21-Mar-2024,08:51:42.03125,0.0
21-Mar-2024,01:01:14.71875,0.0
20-Mar-2024,17:10:39.84375,0.0
20-Mar-2024,09:20:14.8125,0.0
20-Mar-2024,01:29:43.25,0.0
19-Mar-2024,17:39:08.84375,0.0
19-Mar-2024,09:48:39.65625,0.0
19-Mar-2024,01:58:20.1875,0.0
18-Mar-2024,18:07:53.625,0.0
18-Mar-2024,10:17:31.125,0.0
18-Mar-2024,02:27:08.65625,0.0
17-Mar-2024,18:36:48.90625,0.0
17-Mar-2024,10:46:25.625,0.0
17-Mar-2024,02:55:59.4375,0.0
16-Mar-2024,19:05:35.65625,0.0
16-Mar-2024,11:15:10.125,0.0
16-Mar-2024,03:24:43.375,0.0
15-Mar-2024,19:34:19.5625,0.0
