Time,Value,Value Attributes
30-Mar-2024,04:40:28.59375,0.000
30-Mar-2024,02:10:26.65625,0.000
29-Mar-2024,18:20:13.46875,0.000
29-Mar-2024,10:30:00.875,0.000
29-Mar-2024,02:39:53.40625,0.000
28-Mar-2024,18:49:41.875,0.000
28-Mar-2024,10:59:27.65625,0.000
28-Mar-2024,03:09:13,0.000
28-Mar-2024,03:08:54.38901,Intf,Shut
28-Mar-2024,01:12:01.59375,0.000
27-Mar-2024,17:21:44.1875,0.000
27-Mar-2024,09:31:34.40625,0.000
27-Mar-2024,01:41:15.875,0.000
26-Mar-2024,17:51:09.75,0.000
26-Mar-2024,10:00:51.1875,0.000
26-Mar-2024,02:10:40.78125,0.000
25-Mar-2024,18:20:30.40625,0.000
25-Mar-2024,10:30:09.34375,0.000
25-Mar-2024,02:39:55.59375,0.000
24-Mar-2024,18:49:48.25,0.000
24-Mar-2024,10:59:41.53125,0.000
24-Mar-2024,03:09:22.1875,0.000
23-Mar-2024,19:19:15.84375,0.000
23-Mar-2024,11:28:55.6875,0.000
23-Mar-2024,11:28:51.16701,Intf,Shut
23-Mar-2024,07:49:34.84375,0.000
22-Mar-2024,23:59:15.71875,0.000
22-Mar-2024,16:08:51.03125,0.000
22-Mar-2024,08:18:30.5,0.000
22-Mar-2024,00:28:15.4375,0.000
21-Mar-2024,16:37:55.125,0.000
21-Mar-2024,08:47:38.40625,0.000
21-Mar-2024,00:57:17.5625,0.000
20-Mar-2024,17:06:52.75,0.000
20-Mar-2024,09:16:35.9375,0.000
20-Mar-2024,01:26:19.78125,0.000
19-Mar-2024,17:36:02.4375,0.000
19-Mar-2024,09:45:43.84375,0.000
19-Mar-2024,01:55:31.625,0.000
18-Mar-2024,18:05:25.1875,0.000
18-Mar-2024,10:15:13.46875,0.000
18-Mar-2024,02:24:52.5,0.000
17-Mar-2024,18:34:40.125,0.000
17-Mar-2024,10:44:27.84375,0.000
17-Mar-2024,02:54:15.8125,0.000
16-Mar-2024,19:04:09.5,0.000
16-Mar-2024,11:14:03.5625,0.000
16-Mar-2024,03:23:50.15625,0.000
15-Mar-2024,19:33:32.125,0.000
15-Mar-2024,11:43:19.03125,0.000
15-Mar-2024,03:53:13.4375,0.000
14-Mar-2024,20:03:02.75,0.000
14-Mar-2024,19:53:58.84375,Bad
14-Mar-2024,19:53:03.59375,0.000
14-Mar-2024,15:51:55.84375,0.000
14-Mar-2024,08:01:44.125,0.000
14-Mar-2024,00:11:38.0625,0.000
13-Mar-2024,16:21:31.5625,0.000
13-Mar-2024,08:31:12.53125,0.000
13-Mar-2024,00:41:01.3125,0.000
12-Mar-2024,16:50:48.15625,0.000
12-Mar-2024,09:00:42.46875,0.000
12-Mar-2024,01:10:30.1875,0.000
11-Mar-2024,17:20:19.78125,0.000
11-Mar-2024,09:30:05.71875,0.000
11-Mar-2024,01:39:53.9375,0.000
10-Mar-2024,17:49:45.5,0.000
10-Mar-2024,09:59:26.71875,0.000
10-Mar-2024,01:09:14.09375,0.000
9-Mar-2024,17:19:03.03125,0.000
9-Mar-2024,09:28:47.96875,0.000
9-Mar-2024,01:38:42.4375,0.000
8-Mar-2024,17:48:30,0.000
8-Mar-2024,09:58:09.375,0.000
8-Mar-2024,02:07:56.9375,0.000
7-Mar-2024,18:17:42.375,0.000
7-Mar-2024,10:27:30.75,0.000
7-Mar-2024,02:37:18.59375,0.000
6-Mar-2024,18:47:13.3125,0.000
6-Mar-2024,10:56:58.4375,0.000
6-Mar-2024,03:06:46.5625,0.000
5-Mar-2024,19:16:39.6875,0.000
5-Mar-2024,11:26:20.25,0.000
5-Mar-2024,03:36:07.5,0.000
4-Mar-2024,19:45:54.6875,0.000
4-Mar-2024,11:55:42.3125,0.000
4-Mar-2024,04:05:32.53125,0.000
3-Mar-2024,20:15:22.3125,0.000
3-Mar-2024,12:25:03.46875,0.000
3-Mar-2024,04:34:50.40625,0.000
2-Mar-2024,20:44:38.3125,0.000
2-Mar-2024,12:54:30.84375,0.000
2-Mar-2024,05:04:06.90625,0.000
1-Mar-2024,21:13:39.53125,0.000
1-Mar-2024,13:23:19.75,0.000
1-Mar-2024,05:32:55.1875,0.000
29-Feb-2024,21:42:31.90625,0.000
29-Feb-2024,13:52:06.71875,0.000
29-Feb-2024,06:01:41.28125,0.000
28-Feb-2024,22:11:28.78125,0.000
28-Feb-2024,14:21:08.96875,0.000
28-Feb-2024,06:30:47.3125,0.000
27-Feb-2024,22:40:25.96875,0.000
27-Feb-2024,14:50:00.1875,0.000
27-Feb-2024,06:59:33.75,0.000
26-Feb-2024,23:09:15.21875,0.000
26-Feb-2024,15:19:03.8125,0.000
26-Feb-2024,07:28:51.1875,0.000
25-Feb-2024,23:38:38.84375,0.000
25-Feb-2024,15:48:31.625,0.000
25-Feb-2024,07:58:18.71875,0.000
25-Feb-2024,00:08:04.875,0.000
24-Feb-2024,16:17:42.46875,0.000
24-Feb-2024,08:27:22.46875,0.000
24-Feb-2024,00:36:59.46875,0.000
23-Feb-2024,16:46:46.5,0.000
23-Feb-2024,08:56:34.28125,0.000
23-Feb-2024,01:06:29.53125,0.000
22-Feb-2024,17:16:22.59375,0.000
22-Feb-2024,09:26:10.125,0.000
22-Feb-2024,01:35:50.1875,0.000
21-Feb-2024,17:45:39.875,0.000
21-Feb-2024,09:55:30.21875,0.000
21-Feb-2024,02:05:15.90625,0.000
20-Feb-2024,18:14:56.78125,0.000
20-Feb-2024,10:24:38.71875,0.000
20-Feb-2024,02:34:25.21875,0.000
19-Feb-2024,18:44:08.46875,0.000
19-Feb-2024,10:53:48.1875,0.000
19-Feb-2024,03:03:27.84375,0.000
18-Feb-2024,19:13:12.28125,0.000
18-Feb-2024,11:22:58.5625,0.000
18-Feb-2024,03:32:39.53125,0.000
17-Feb-2024,19:42:21.28125,0.000
17-Feb-2024,11:52:07.34375,0.000
17-Feb-2024,04:01:53.4375,0.000
16-Feb-2024,20:11:32.03125,0.000
16-Feb-2024,12:21:05.8125,0.000
